,Id,Vistas,likes,Comentarios,C_id,Data,Título,C_data,C_Título,País,C_vistas,Subscriptores,No Videos,Titulo,Status,Categoria,Duracao,Data_tendencia
397,s1w6Nd91dH8,415274.0,41434.0,1849.0,UCIXguhHCl8eDTkXpEuiGPUA,2022-08-21 21:00:31+00:00,VOCÊS ME FALARAM QUE ESSE JOGO É MUITO FAMOSO! - Cut the Rope,2012-08-30 21:43:09+00:00,Jazzghost,,4678921111,12700000.0,5128,,1,Gaming,984.0,2022-08-23 00:00:00+00:00
398,sZ47mNIvAQw,234315.0,11690.0,175.0,UCv-Nx8pSfG_LxbViMz14RWQ,2022-09-02 03:34:40+00:00,,2015-11-23 13:13:54+00:00,Jovem Pan Esportes,BR,1817401968,3550000.0,14857,São Paulo PERDE para o Atlético-GO e SE COMPLICA na SEMI da Sul-Americana! | CANELADA (01/09/22),0,Sports,4196.0,
399,7HnOwXHa4VM,234291.0,18899.0,148.0,UCHuZmQ0lSW8TG81dVZZh5rw,2022-09-04 17:30:19+00:00,,2011-10-01 16:26:16+00:00,LipaoGamer,BR,3867175008,11500000.0,10960,CARROS vs RainbowFriends! (AZUL BABÃO) - Teardown,1,Gaming,857.0,2022-09-06 00:00:00+00:00
400,Y3gF6Duh_z0,2419732.0,147085.0,5857.0,UCIrgJInjLS2BhlHOMDW7v0g,2022-09-10 23:42:44+00:00,,2019-08-22 05:58:02+00:00,Disney Plus,US,141673904,1080000.0,691,Teaser | Percy Jackson and the Olympians | Disney+,0,People & Blogs,53.0,
401,eWPijiN3vGU,2454726.0,51055.0,7200.0,UCDVYQ4Zhbm3S2dlz7P1GBDg,2022-09-09 03:26:59+00:00,,2014-12-14 02:07:35+00:00,NFL,,7017114553,9630000.0,25738,Buffalo Bills vs. Los Angeles Rams | Week 1 2022 Game Highlights,1,Sports,691.0,2022-09-10 00:00:00+00:00
402,TODun4jLl98,447106.0,14181.0,2798.0,UCVFbXI6Gu8U2f9Gjtxw4A-Q,2022-08-29 06:07:39+00:00,"Debate: principais momentos do debate no UOL com Lula, Bolsonaro, Ciro, Tebet, Soraya e D&#39;Avila",2006-03-19 15:34:42+00:00,UOL,BR,1414531315,2530000.0,33946,,0,News & Politics,575.0,
403,SH0XcTmt6Rk,447215.0,19838.0,530.0,UCHggIF2Ee-OqgIgtYihoBiQ,2022-09-13 21:55:04+00:00,,2012-10-18 17:42:34+00:00,Bitgamer,BR,1525029534,2660000.0,2374,Todos os Bichos do Rainbow Friends no Teardown com Mods,1,Entertainment,572.0,2022-09-15 00:00:00+00:00
404,WKsAwJO9Wr0,5492.0,2695.0,,UCwVmZjJwkCUCOes5_eAIebg,2022-08-20 14:29:42+00:00,Morre a atriz e humorista Claudia Jimenez no RJ,2013-03-15 19:30:43+00:00,Fala Brasil,BR,150178173,769000.0,10865,,0,News & Politics,112.0,
405,sJHYNATW_C4,5493.0,5450.0,1372.0,UClPOJqFbYMKGyM2Nqst0NxA,2022-08-18 15:00:28+00:00,Joelma - ISSO É CALYPSO AO VIVO NA AMAZÔNIA - REI DA FESTA,2016-01-16 15:44:05+00:00,Joelma Oficial,BR,267513600,1290000.0,113,,1,Music,234.0,2022-08-19 00:00:00+00:00
406,GB7hNGZm__Y,25346.0,2799.0,170.0,UCzjtGnD7qqeaHW3nvDVrjQA,2022-08-26 01:13:21+00:00,Laudo diz que homem que tentou matar Bolsonaro ainda representa risco para a sociedade,2015-05-08 19:18:51+00:00,Os Pingos nos Is,BR,2645185545,4930000.0,10066,,0,News & Politics,246.0,
